name,concept,com,app,com_br
aventra,"forward movement and operational excellence",taken,taken,taken
belvora,"reliable enterprise platform",taken,available,taken
calvora,"connected physical assets",taken,available,available
durevia,"durability across the asset lifecycle",taken,available,available
envara,"bringing assets into one system",taken,taken,available
falvora,"field-first operations",taken,available,available
galvera,"trusted industrial software",taken,available,available
halvora,"clarity across infrastructure",taken,available,available
invero,"source of operational truth",taken,available,taken
jorava,"coordination at scale",taken,available,available
kalvora,"enterprise asset platform",taken,available,available
lanvera,"connected facilities",taken,available,available
melvora,"visibility and intelligence",taken,taken,taken
navera,"guiding physical operations",taken,taken,taken
orvera,"organized asset lifecycle",taken,available,available
ravera,"reliable asset records",taken,taken,taken
selvora,"service and maintenance platform",taken,taken,taken
telvora,"distributed operations",taken,available,available
ulvera,"long-term infrastructure",taken,available,available
valvora,"creating value from assets",taken,available,available
ardevia,"modern enterprise platform",taken,available,available
brianta,"operational confidence",taken,available,available
coralis,"connected environments",taken,taken,taken
draventa,"industrial coordination",taken,available,available
elantis,"platform for physical operations",taken,available,taken
feralis,"robust infrastructure",taken,taken,available
graventa,"built for industry",taken,available,available
helaris,"trusted facilities platform",taken,available,taken
ivantis,"intelligent operations",taken,available,available
jarvian,"engineering software",taken,available,available
koralis,"industrial intelligence",taken,available,taken
levanta,"lifting operational standards",taken,taken,taken
moralis,"structured execution",taken,taken,taken
noralis,"future-ready operations",taken,available,taken
orantis,"workflow orchestration",taken,available,available
paralis,"connected maintenance",taken,available,available
quoralis,"coordination and visibility",taken,available,available
relantis,"enterprise collaboration",taken,available,available
seranta,"field execution",taken,available,available
toralis,"industrial reliability",taken,available,available
umbriax,"modern software identity",available,available,available
varantis,"large-scale operations",taken,available,available
welantis,"trusted enterprise platform",available,available,available
xelaris,"next-generation infrastructure",taken,available,taken
yoralis,"distributed asset intelligence",taken,available,available
zelantis,"enterprise visibility",taken,available,taken
amberon,"lasting operational value",taken,available,available
brinkor,"operations at the edge",taken,taken,available
crestal,"raising operational standards",taken,available,taken
dockwell,"home for physical assets",taken,available,available
everpath,"continuous asset lifecycle",taken,taken,taken
fieldmark,"field operations platform",taken,taken,available
forgepath,"building resilient operations",taken,taken,available
framewell,"structured asset management",taken,taken,available
groundline,"foundation for operations",taken,taken,available
harborix,"safe operational platform",taken,available,available
hingeworks,"connecting every workflow",taken,available,available
ironwell,"strength and dependability",taken,available,taken
landforge,"built for the physical world",taken,taken,available
linecraft,"organized execution",taken,taken,available
loadstone,"guiding operational decisions",taken,taken,available
mapwell,"mapping every asset",taken,available,available
milepost,"tracking operational progress",taken,taken,available
northgrid,"direction across facilities",taken,taken,available
oakbridge,"connecting physical infrastructure",taken,available,taken
pathline,"clear operational journeys",taken,taken,available
placeforge,"managing every location",taken,available,available
pointwell,"trusted operational data",taken,available,available
railmark,"logistics and infrastructure",taken,available,available
ridgeworks,"strong operational backbone",taken,available,available
rootline,"foundation of every asset",taken,taken,available
siteforge,"software for worksites",taken,taken,taken
sitehaven,"trusted facility management",taken,available,available
stonepath,"durable infrastructure platform",taken,taken,available
stronghold,"protecting critical assets",taken,taken,available
trackforge,"asset tracking and history",taken,taken,taken
trailmark,"operational visibility",taken,taken,available
trueforge,"trusted engineering platform",taken,available,available
vaultline,"secure asset records",taken,taken,available
wayforge,"building better operations",taken,taken,available
workhaven,"central place for operations",taken,taken,available
yardforge,"yards and fleet management",taken,available,available
yardmark,"industrial asset visibility",taken,available,available
altforge,"higher operational standards",taken,taken,available
beamline,"connecting infrastructure",taken,taken,available
blueanchor,"trusted operational foundation",taken,available,available
bricklane,"built for the physical world",taken,taken,available
bridgefield,"connecting people and assets",taken,available,available
craftline,"precision operations",taken,taken,available
drivemark,"moving operations forward",taken,available,available
earthgrid,"physical infrastructure network",taken,available,available
forgebridge,"engineering collaboration",taken,available,available
gearfield,"equipment and maintenance",taken,available,available
gridforge,"connected facilities",taken,taken,taken
groundbeam,"strong operational foundation",taken,available,available
ironbridge,"linking critical infrastructure",taken,taken,taken
landanchor,"stability across locations",taken,available,available
liftpoint,"operational improvement",taken,taken,available
markfield,"visibility across worksites",taken,available,available
northforge,"guiding enterprise operations",taken,taken,available
primeyard,"industrial asset management",taken,available,available
roadforge,"infrastructure lifecycle",taken,taken,available
sitebridge,"connecting distributed sites",taken,taken,available
stonegrid,"durable operational platform",taken,taken,available
workgrid,"bringing teams and assets together",taken,taken,available
